,tau,kappa,beta,sigma,delta_t,avg_reward
254,1.0,100.0,0.0,0.5,5.0,1.9883631346653428
255,1.0,100.0,0.0,2.875,1.0,2.165473278337425
256,1.0,100.0,0.0,2.875,2.0,2.346556843286606
257,1.0,100.0,0.0,2.875,3.0,1.8427385692200464
258,1.0,100.0,0.0,2.875,4.0,1.9236192836244865
259,1.0,100.0,0.0,2.875,5.0,2.171658187737019
260,1.0,100.0,0.0,5.25,1.0,1.962381660074778
261,1.0,100.0,0.0,5.25,2.0,2.086017185426514
262,1.0,100.0,0.0,5.25,3.0,1.9114822119676866
263,1.0,100.0,0.0,5.25,4.0,2.433918131919453
264,1.0,100.0,0.0,5.25,5.0,2.3411846771153644
265,1.0,100.0,0.0,7.625,1.0,2.0548767012655302
266,1.0,100.0,0.0,7.625,2.0,2.1598534342001603
267,1.0,100.0,0.0,7.625,3.0,2.530829817014985
268,1.0,100.0,0.0,7.625,4.0,2.017582513591152
269,1.0,100.0,0.0,7.625,5.0,2.2850672114019246
270,1.0,100.0,0.0,10.0,1.0,2.011667528646091
271,1.0,100.0,0.0,10.0,2.0,2.1276093737355195
272,1.0,100.0,0.0,10.0,3.0,2.2751606303067553
273,1.0,100.0,0.0,10.0,4.0,2.1446862121041095
274,1.0,100.0,0.0,10.0,5.0,2.1538402178399396
275,1.0,100.0,0.0025,0.5,1.0,2.0436363191402815
276,1.0,100.0,0.0025,0.5,2.0,2.335990240272314
277,1.0,100.0,0.0025,0.5,3.0,2.569750519681313
278,1.0,100.0,0.0025,0.5,4.0,2.283266459597242
279,1.0,100.0,0.0025,0.5,5.0,1.8207756699868423
280,1.0,100.0,0.0025,2.875,1.0,2.4170992764105943
281,1.0,100.0,0.0025,2.875,2.0,2.315632680013971
282,1.0,100.0,0.0025,2.875,3.0,2.5382409391765295
283,1.0,100.0,0.0025,2.875,4.0,2.422976910725334
284,1.0,100.0,0.0025,2.875,5.0,2.159519514960445
285,1.0,100.0,0.0025,5.25,1.0,2.4968055500476263
286,1.0,100.0,0.0025,5.25,2.0,2.610027916512577
287,1.0,100.0,0.0025,5.25,3.0,2.3415465396069335
288,1.0,100.0,0.0025,5.25,4.0,2.5924501984950212
289,1.0,100.0,0.0025,5.25,5.0,2.551040241661628
290,1.0,100.0,0.0025,7.625,1.0,2.331421252013475
291,1.0,100.0,0.0025,7.625,2.0,2.1580073373449746
292,1.0,100.0,0.0025,7.625,3.0,2.2336297886662253
293,1.0,100.0,0.0025,7.625,4.0,2.3929299644812314
294,1.0,100.0,0.0025,7.625,5.0,2.0403939491237666
295,1.0,100.0,0.0025,10.0,1.0,2.223021823371415
296,1.0,100.0,0.0025,10.0,2.0,2.4239505965470074
297,1.0,100.0,0.0025,10.0,3.0,2.2984964425211127
298,1.0,100.0,0.0025,10.0,4.0,2.189080294048197
299,1.0,100.0,0.0025,10.0,5.0,2.180899600582021
300,1.0,100.0,0.005,0.5,1.0,2.188802391191487
301,1.0,100.0,0.005,0.5,2.0,2.141392990354305
302,1.0,100.0,0.005,0.5,3.0,1.8733890415317156
303,1.0,100.0,0.005,0.5,4.0,2.017023196841594
304,1.0,100.0,0.005,0.5,5.0,2.347087070218195
305,1.0,100.0,0.005,2.875,1.0,2.0611500768362587
306,1.0,100.0,0.005,2.875,2.0,2.2312715576113953
307,1.0,100.0,0.005,2.875,3.0,2.1389795581793933
308,1.0,100.0,0.005,2.875,4.0,2.2038032953408604
309,1.0,100.0,0.005,2.875,5.0,2.0058039657410913
310,1.0,100.0,0.005,5.25,1.0,2.2696140495339643
311,1.0,100.0,0.005,5.25,2.0,2.4853928701096484
312,1.0,100.0,0.005,5.25,3.0,2.3683143824235495
313,1.0,100.0,0.005,5.25,4.0,2.170219269101085
314,1.0,100.0,0.005,5.25,5.0,2.1416145455084385
315,1.0,100.0,0.005,7.625,1.0,2.2504373799116477
316,1.0,100.0,0.005,7.625,2.0,2.1201229887294284
317,1.0,100.0,0.005,7.625,3.0,2.080958211654781
318,1.0,100.0,0.005,7.625,4.0,2.2596652003215714
319,1.0,100.0,0.005,7.625,5.0,2.5389324320905033
320,1.0,100.0,0.005,10.0,1.0,2.375803488154131
321,1.0,100.0,0.005,10.0,2.0,1.8884743014021932
322,1.0,100.0,0.005,10.0,3.0,2.218945077217117
323,1.0,100.0,0.005,10.0,4.0,2.301557264576444
324,1.0,100.0,0.005,10.0,5.0,1.8791237993799055
325,1.0,100.0,0.0075,0.5,1.0,2.204212278976624
326,1.0,100.0,0.0075,0.5,2.0,1.9539391195806683
327,1.0,100.0,0.0075,0.5,3.0,2.117014249226669
328,1.0,100.0,0.0075,0.5,4.0,2.404007376193676
329,1.0,100.0,0.0075,0.5,5.0,2.220919416870449
330,1.0,100.0,0.0075,2.875,1.0,1.956277758346649
331,1.0,100.0,0.0075,2.875,2.0,2.0162747472333087
332,1.0,100.0,0.0075,2.875,3.0,2.290122190436902
333,1.0,100.0,0.0075,2.875,4.0,2.3511430168307736
334,1.0,100.0,0.0075,2.875,5.0,1.9537064419673906
335,1.0,100.0,0.0075,5.25,1.0,2.3572500368108336
336,1.0,100.0,0.0075,5.25,2.0,2.3730368760161835
337,1.0,100.0,0.0075,5.25,3.0,1.9745976863893688
338,1.0,100.0,0.0075,5.25,4.0,2.45051618385229
339,1.0,100.0,0.0075,5.25,5.0,2.3703616111559715
340,1.0,100.0,0.0075,7.625,1.0,2.5940389691092562
341,1.0,100.0,0.0075,7.625,2.0,1.8253994137739464
342,1.0,100.0,0.0075,7.625,3.0,2.241945729490669
343,1.0,100.0,0.0075,7.625,4.0,2.022402288811615
344,1.0,100.0,0.0075,7.625,5.0,2.133537632654741
